Fecha,"Nombre del dispositivo",Temperatura,"Temperatura minima","Temperatura maxima","Vibracion pico X","Vibracion pico Y","Vibracion pico Z","Vibracion pico pico X","Vibracion pico pico Y","Vibracion pico pico Z","Vibracion RMS X","Vibracion RMS Y","Vibracion RMS Z","Voltaje de la bateria"
"2021-06-15 09:35:05","ROLAND 600 VERTICAL",33.75,23,33.75,0.930176,3.33398,4.64185,1.70532,6.42603,7.12964,0.249512,1.21631,1.03662,3.63
"2021-06-15 09:40:06","ROLAND 600 VERTICAL",34.00,23,34.75,0.790039,4.56396,3.28369,1.3252,8.80713,6.52661,0.212158,1.2832,0.965088,3.63
"2021-06-15 09:45:06","ROLAND 600 VERTICAL",35.50,23,35.5,0.573486,3.30981,1.74829,1.13989,6.51685,3.44385,0.197021,1.07812,0.63623,3.63
"2021-06-15 09:50:06","ROLAND 600 VERTICAL",36.00,23,36.75,0.783691,3.46875,2.57959,1.42725,6.32983,5.00464,0.227539,1.02441,0.760498,3.63
"2021-06-15 09:55:06","ROLAND 600 VERTICAL",37.00,23,37.5,1.22925,2.06787,1.65234,2.21021,4.06689,3.20264,0.258301,0.507812,0.433838,3.63
"2021-06-15 10:00:08","ROLAND 600 VERTICAL",38.00,23,38.5,0.746094,3.85815,3.1167,1.34692,7.12476,6.18481,0.24707,1.11938,0.842285,3.63
"2021-06-15 10:05:04","ROLAND 600 VERTICAL",39.00,23,39,1.0896,2.11157,1.96924,2.0874,4.13428,3.58325,0.262695,0.502197,0.441895,3.63
"2021-06-15 10:10:04","ROLAND 600 VERTICAL",39.00,23,39.5,0.35791,1.24829,0.984619,0.647949,2.34961,1.76245,0.138428,0.296387,0.207764,3.63
"2021-06-15 10:15:05","ROLAND 600 VERTICAL",39.00,23,39.75,0.677734,3.71289,2.92358,1.27051,7.06201,4.95801,0.225342,1.23047,0.803955,3.63
"2021-06-15 10:20:04","ROLAND 600 VERTICAL",40.00,23,40.5,0.48291,0.903809,0.873291,0.957031,1.70923,1.61475,0.135254,0.163818,0.123779,3.63
"2021-06-15 10:25:04","ROLAND 600 VERTICAL",40.75,23,40.75,0.548096,3.48584,2.50244,1.05542,6.67773,4.4541,0.213135,1.08862,0.828613,3.63
"2021-06-15 10:35:04","ROLAND 600 VERTICAL",42.00,23,42.25,0,0,0,0,0,0,0,0,0,3.63
"2021-06-15 10:40:04","ROLAND 600 VERTICAL",42.00,23,42.75,0.692383,3.82812,2.45093,1.33936,6.78271,4.61816,0.237305,1.16528,0.868164,3.63
"2021-06-15 10:45:05","ROLAND 600 VERTICAL",43.00,23,43,0.577393,3.01343,2.60156,1.14453,5.44116,4.8916,0.210938,1.03687,0.795166,3.63
